source,target,value
wigle.js@0.0.1,request@^2.36.0,1
application-name@0.0.1,request@^2.36.0,1
spellcheck@0.0.0,request@^2.36.0,1
xchange-charts@0.0.1,request@^2.36.0,1
weather-js@2.0.0,request@^2.36.0,1
Nora.js@null,request@^2.36.0,1
home-inventory@0.0.0,request@^2.36.0,1
jyavu.com@1.0.0,request@^2.36.0,1
expressApp@0.0.0,request@^2.36.0,1
my-feed-reader@1.0.0,request@^2.36.0,1
AngularNode@0.0.1,request@^2.36.0,1
web-reader@null,request@^2.36.0,1
newsfeed@0.0.1,event-stream@~3.1.7,1
gulp-s3@0.11.0,event-stream@~3.1.7,1
newsfeed@0.0.1,gulp-cssmin@~0.1.6,1
newsfeed@0.0.1,gulp-flatten@0.0.4,1
newsfeed@0.0.1,gulp-jshint@~1.9.0,1
newsfeed@0.0.1,gulp-less@~1.3.6,1
newsfeed@0.0.1,gulp-load-plugins@~0.7.1,1
newsfeed@0.0.1,jshint-stylish@~1.0.0,1
newsfeed@0.0.1,gulp-rimraf@~0.1.1,1
newsfeed@0.0.1,gulp-livereload@~2.1.1,1
my-first-app@0.1.0,montage@~0.14.0,1
my-first-app@0.1.0,digit@~0.5.0,1
depot@0.0.1,bluebird@^2.3.2,1
bluth@0.0.3,bluebird@^2.3.2,1
depot@0.0.1,hiredis@^0.1.17,1
depot@0.0.1,redis@^0.12.1,1
wigle.js@0.0.1,validator@^3.22.1,1
abooks@0.0.0,compression@^1.0.3,1
playyylist@0.0.0,compression@^1.0.3,1
mean@0.4.0,compression@^1.0.3,1
abooks@0.0.0,loadtest@^1.2.0,1
abooks@0.0.0,loopback@^2.0.0,1
abooks@0.0.0,loopback-boot@^2.0.0,1
abooks@0.0.0,loopback-connector-mongodb@^1.4.2,1
abooks@0.0.0,loopback-datasource-juggler@^2.0.0,1
abooks@0.0.0,lwip@0.0.2,1
abooks@0.0.0,serve-favicon@^2.0.1,1
spellcheck@0.0.0,serve-favicon@^2.0.1,1
shakespeare_annotate@0.0.0,serve-favicon@^2.0.1,1
whyilove@0.0.0,serve-favicon@^2.0.1,1
mean@0.4.0,serve-favicon@^2.0.1,1
vm-launcher@0.0.0,argv@0.0.2,1
application-name@0.0.1,cheerio@*,1
web-reader@null,cheerio@*,1
application-name@0.0.1,q@1.0.0,1
socket-chat-example@0.0.1,q@1.0.0,1
atlas-server@0.0.1,q@1.0.0,1
whyilove@0.0.0,q@1.0.0,1
Thinkful-node.js@1.0.0,grunt-jslint@^1.1.12,1
spellcheck@0.0.0,monk@*,1
spellcheck@0.0.0,xml2js@*,1
xchange-charts@0.0.1,xml2js@*,1
weather-js@2.0.0,xml2js@*,1
my-feed-reader@1.0.0,xml2js@*,1
Bernie@0.0.1,xml2js@*,1
spellcheck@0.0.0,fs@*,1
xchange-charts@0.0.1,memory-cache@*,1
xchange-charts@0.0.1,winston@*,1
AngularNode@0.0.1,winston@*,1
xchange-charts@0.0.1,yuidocjs@*,1
wok@7.1.0,normalize.css@8.0.0,1
wok@7.1.0,sass-mq@4.0.2,1
paginate@1.0.1,browser-sync@^2.26.3,1
paginate@1.0.1,gulp-cssnano@^2.1.3,1
paginate@1.0.1,static-server@^2.2.1,1
Nora.js@null,commander@2.3.x,1
drudge@2.0.0,commander@2.3.x,1
linode-env@1.0.0,commander@2.3.x,1
gitjk@0.1.14,commander@2.3.x,1
closure-ts@0.3.0,commander@2.3.x,1
Nora.js@null,better-console@0.2.x,1
Nora.js@null,easy-table@0.3.x,1
Nora.js@null,xpath@0.0.7,1
Nora.js@null,pretty-data@0.40.x,1
Nora.js@null,shelljs@0.3.0,1
staged-github-files@1.0.3,shelljs@0.3.0,1
Nora.js@null,JSONPath@0.10.x,1
Nora.js@null,jsontoxml@0.0.11,1
Nora.js@null,slugify@0.1.0,1
Nora.js@null,csv-parse@0.1.3,1
instygram@0.0.1,nodemon@~0.7.10,1
expressApp@0.0.0,nodemon@~0.7.10,1
instygram@0.0.1,firebase@~0.6.3,1
instygram@0.0.1,less@~1.6.1,1
strichliste@1.7.0,configurations@^3.0.0,1
strichliste@1.7.0,cors@^2.8.4,1
strichliste@1.7.0,figlet@^1.2.0,1
strichliste@1.7.0,furg@^1.1.1,1
strichliste@1.7.0,hoek@^4.0.2,1
strichliste@1.7.0,mqtt@^2.15.0,1
strichliste@1.7.0,once@^1.4.0,1
strichliste@1.7.0,seq@^0.3.5,1
strichliste@1.7.0,sqlite3@^3.1.13,1
sequelize-rest-boilerplate@0.1.2,sqlite3@^3.1.13,1
